geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-13,100
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-14,100.28
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-15,101.92
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-16,104.53
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-17,129.03
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-18,81.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-19,79.29
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-20,97.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-21,95.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-22,99.34
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-23,102.76
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-24,122.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-25,113.41
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-26,80.02
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-27,89.53
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-28,94.99
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-29,94.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-30,104.41
city,Ann Arbor,driving,NA,Michigan,United States,2020-01-31,124.26
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-01,113.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-02,80.42
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-03,90.62
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-04,96.38
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-05,97.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-06,104.51
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-07,121.18
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-08,115.59
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-09,85.91
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-10,91.66
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-11,98.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-12,100.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-13,106.19
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-14,130.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-15,117.39
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-16,93.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-17,101.01
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-18,100.2
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-19,102.07
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-20,107.26
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-21,126.91
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-22,119.58
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-23,89.49
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-24,92.03
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-25,94.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-26,92.19
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-27,103.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-28,119.98
city,Ann Arbor,driving,NA,Michigan,United States,2020-02-29,104.77
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-01,75.66
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-02,89.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-03,92.75
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-04,92.58
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-05,102.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-06,110.11
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-07,109.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-08,92.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-09,99.72
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-10,108.27
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-11,97.9
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-12,93.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-13,94.55
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-14,78.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-15,60.31
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-16,62.91
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-17,59.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-18,53.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-19,52.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-20,57.43
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-21,47.29
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-22,35.31
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-23,43.72
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-24,32.69
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-25,36.28
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-26,36.04
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-27,39.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-28,33.17
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-29,28.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-30,34.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-03-31,34.74
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-01,34.89
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-02,38.17
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-03,43.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-04,36.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-05,31.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-06,36.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-07,34.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-08,38.16
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-09,36.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-10,42.09
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-11,38.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-12,25.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-13,34.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-14,37.04
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-15,37.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-16,40.1
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-17,39.2
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-18,43.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-19,35.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-20,42.01
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-21,40.45
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-22,39.47
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-23,42.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-24,48.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-25,46.05
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-26,40.62
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-27,48.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-28,51.54
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-29,46.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-30,48.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-01,60.69
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-02,57.56
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-03,49.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-04,53.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-05,53.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-06,56.99
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-07,61.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-08,64.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-09,59.86
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-10,46.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-13,66.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-14,60.78
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-15,72.67
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-16,72.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-17,52.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-18,60.97
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-19,70.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-20,78.65
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-21,79.51
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-22,85.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-23,74.57
